trackName,seller,genre,released,ratings,trackId,url
うんちスキャン-犬猫ペットの便と顔写真でAI健康・体調記録,"KIY, K.K.",Lifestyle,2026-03-12,1,6759829585,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%A1%E3%82%B9%E3%82%AD%E3%83%A3%E3%83%B3-%E7%8A%AC%E7%8C%AB%E3%83%9A%E3%83%83%E3%83%88%E3%81%AE%E4%BE%BF%E3%81%A8%E9%A1%94%E5%86%99%E7%9C%9F%E3%81%A7ai%E5%81%A5%E5%BA%B7-%E4%BD%93%E8%AA%BF%E8%A8%98%E9%8C%B2/id6759829585?uo=4
ちょうログ、お通じ記録で腸活サポート,Kazuaki Takahashi,Lifestyle,2026-03-31,1,6759916759,https://apps.apple.com/jp/app/%E3%81%A1%E3%82%87%E3%81%86%E3%83%AD%E3%82%B0-%E3%81%8A%E9%80%9A%E3%81%98%E8%A8%98%E9%8C%B2%E3%81%A7%E8%85%B8%E6%B4%BB%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88/id6759916759?uo=4
PoopCheck: 便分析AI,SoftAllThings LLC,Health & Fitness,2024-11-26,1,6737857695,https://apps.apple.com/jp/app/poopcheck-%E4%BE%BF%E5%88%86%E6%9E%90ai/id6737857695?uo=4
Vyla – 腹痛・IBSトラッカー,MATTHEW ALEXANDER SMYTH,Health & Fitness,2026-01-28,1,6758146340,https://apps.apple.com/jp/app/vyla-%E8%85%B9%E7%97%9B-ibs%E3%83%88%E3%83%A9%E3%83%83%E3%82%AB%E3%83%BC/id6758146340?uo=4
うんち記録,Ramkumar Vellaisamy,Health & Fitness,2025-06-12,1,6747142812,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%A1%E8%A8%98%E9%8C%B2/id6747142812?uo=4
わんログ - 犬の健康記録・トイレしつけ・散歩,Shin Matsumaru,Lifestyle,2026-07-03,1,6775680314,https://apps.apple.com/jp/app/%E3%82%8F%E3%82%93%E3%83%AD%E3%82%B0-%E7%8A%AC%E3%81%AE%E5%81%A5%E5%BA%B7%E8%A8%98%E9%8C%B2-%E3%83%88%E3%82%A4%E3%83%AC%E3%81%97%E3%81%A4%E3%81%91-%E6%95%A3%E6%AD%A9/id6775680314?uo=4
メモってととのう腸活アプリ - らくメモ腸活,GIZIN Inc.,Health & Fitness,2024-05-27,1,6475145288,https://apps.apple.com/jp/app/%E3%83%A1%E3%83%A2%E3%81%A3%E3%81%A6%E3%81%A8%E3%81%A8%E3%81%AE%E3%81%86%E8%85%B8%E6%B4%BB%E3%82%A2%E3%83%97%E3%83%AA-%E3%82%89%E3%81%8F%E3%83%A1%E3%83%A2%E8%85%B8%E6%B4%BB/id6475145288?uo=4
IBS 2026,National Association of Home Builders,Business,2018-12-18,1,1446351348,https://apps.apple.com/jp/app/ibs-2026/id1446351348?uo=4
IBS Mobile,INTERNATIONAL BANK OF SOMALIA,Finance,2020-03-05,1,1500860861,https://apps.apple.com/jp/app/ibs-mobile/id1500860861?uo=4
Endive - IBS Food Diary,Endive Health LTD,Health & Fitness,2020-04-14,1,1505121271,https://apps.apple.com/jp/app/endive-ibs-food-diary/id1505121271?uo=4
腸易激とお別れ,"INII Co., Ltd.",Health & Fitness,2025-05-23,1,6745562063,https://apps.apple.com/jp/app/%E8%85%B8%E6%98%93%E6%BF%80%E3%81%A8%E3%81%8A%E5%88%A5%E3%82%8C/id6745562063?uo=4
ヘモノート - 痔主のための総合おしりケア,MINATO DIGITAL K.K.,Health & Fitness,2026-08-05,1,6795841618,https://apps.apple.com/jp/app/%E3%83%98%E3%83%A2%E3%83%8E%E3%83%BC%E3%83%88-%E7%97%94%E4%B8%BB%E3%81%AE%E3%81%9F%E3%82%81%E3%81%AE%E7%B7%8F%E5%90%88%E3%81%8A%E3%81%97%E3%82%8A%E3%82%B1%E3%82%A2/id6795841618?uo=4
とりピン - 小鳥の健康管理・体重記録・飼育日記アプリ,Renya Yamagami,Lifestyle,2026-08-05,1,6787637828,https://apps.apple.com/jp/app/%E3%81%A8%E3%82%8A%E3%83%94%E3%83%B3-%E5%B0%8F%E9%B3%A5%E3%81%AE%E5%81%A5%E5%BA%B7%E7%AE%A1%E7%90%86-%E4%BD%93%E9%87%8D%E8%A8%98%E9%8C%B2-%E9%A3%BC%E8%82%B2%E6%97%A5%E8%A8%98%E3%82%A2%E3%83%97%E3%83%AA/id6787637828?uo=4
リズムログ - お通じカレンダー,kohei yamane,Health & Fitness,2026-03-03,0,6759830159,https://apps.apple.com/jp/app/%E3%83%AA%E3%82%BA%E3%83%A0%E3%83%AD%E3%82%B0-%E3%81%8A%E9%80%9A%E3%81%98%E3%82%AB%E3%83%AC%E3%83%B3%E3%83%80%E3%83%BC/id6759830159?uo=4
DidYouGo-うんこ 排便記録,鸿粮 袁,Utilities,2026-01-23,0,6757662395,https://apps.apple.com/jp/app/didyougo-%E3%81%86%E3%82%93%E3%81%93-%E6%8E%92%E4%BE%BF%E8%A8%98%E9%8C%B2/id6757662395?uo=4
FlareCare: 腸活トラッカー,FlareCare LLC,Health & Fitness,2025-01-24,0,6739485719,https://apps.apple.com/jp/app/flarecare-%E8%85%B8%E6%B4%BB%E3%83%88%E3%83%A9%E3%83%83%E3%82%AB%E3%83%BC/id6739485719?uo=4
Poopwell：うんち記録・腸活,Supanat Konprom,Health & Fitness,2026-01-26,0,6758233012,https://apps.apple.com/jp/app/poopwell-%E3%81%86%E3%82%93%E3%81%A1%E8%A8%98%E9%8C%B2-%E8%85%B8%E6%B4%BB/id6758233012?uo=4
排便トラッカー：便日記,嵩 张,Health & Fitness,2026-05-12,0,6767535786,https://apps.apple.com/jp/app/%E6%8E%92%E4%BE%BF%E3%83%88%E3%83%A9%E3%83%83%E3%82%AB%E3%83%BC-%E4%BE%BF%E6%97%A5%E8%A8%98/id6767535786?uo=4
Throne Clock: 排便記録,Gaurav Sapkota,Utilities,2026-08-14,0,6796699574,https://apps.apple.com/jp/app/throne-clock-%E6%8E%92%E4%BE%BF%E8%A8%98%E9%8C%B2/id6796699574?uo=4
排便記録: Gutkeep,Luka Jeftic,Health & Fitness,2026-08-18,0,6794323301,https://apps.apple.com/jp/app/%E6%8E%92%E4%BE%BF%E8%A8%98%E9%8C%B2-gutkeep/id6794323301?uo=4
トンダル - 腸活うんちカレンダー,HyeIn Kim,Health & Fitness,2026-08-11,0,6792473247,https://apps.apple.com/jp/app/%E3%83%88%E3%83%B3%E3%83%80%E3%83%AB-%E8%85%B8%E6%B4%BB%E3%81%86%E3%82%93%E3%81%A1%E3%82%AB%E3%83%AC%E3%83%B3%E3%83%80%E3%83%BC/id6792473247?uo=4
便トラッカー 過敏性腸 クローン病,CARECLINIC SOFTWARE INC.,Health & Fitness,2022-06-25,0,1613642833,https://apps.apple.com/jp/app/%E4%BE%BF%E3%83%88%E3%83%A9%E3%83%83%E3%82%AB%E3%83%BC-%E9%81%8E%E6%95%8F%E6%80%A7%E8%85%B8-%E3%82%AF%E3%83%AD%E3%83%BC%E3%83%B3%E7%97%85/id1613642833?uo=4
うんちトラッカー,Joseph Stein,Health & Fitness,2026-02-13,0,6758039043,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%A1%E3%83%88%E3%83%A9%E3%83%83%E3%82%AB%E3%83%BC/id6758039043?uo=4
毛孩日记-宠物健康记录&AI养宠&喂食饮水排便运动打卡,立华 陈,Health & Fitness,2026-07-06,0,6779265956,https://apps.apple.com/jp/app/%E6%AF%9B%E5%AD%A9%E6%97%A5%E8%AE%B0-%E5%AE%A0%E7%89%A9%E5%81%A5%E5%BA%B7%E8%AE%B0%E5%BD%95-ai%E5%85%BB%E5%AE%A0-%E5%96%82%E9%A3%9F%E9%A5%AE%E6%B0%B4%E6%8E%92%E4%BE%BF%E8%BF%90%E5%8A%A8%E6%89%93%E5%8D%A1/id6779265956?uo=4
哪没拉 - 排便记录与便便日记,邓明 张,Health & Fitness,2026-07-31,0,6794577712,https://apps.apple.com/jp/app/%E5%93%AA%E6%B2%A1%E6%8B%89-%E6%8E%92%E4%BE%BF%E8%AE%B0%E5%BD%95%E4%B8%8E%E4%BE%BF%E4%BE%BF%E6%97%A5%E8%AE%B0/id6794577712?uo=4
Bellyx - うんち記録,Gustavo Silva,Health & Fitness,2026-01-23,0,6757122361,https://apps.apple.com/jp/app/bellyx-%E3%81%86%E3%82%93%E3%81%A1%E8%A8%98%E9%8C%B2/id6757122361?uo=4
PoopID: AI便スキャナー,Mobixoft LLC,Health & Fitness,2026-05-05,0,6765519694,https://apps.apple.com/jp/app/poopid-ai%E4%BE%BF%E3%82%B9%E3%82%AD%E3%83%A3%E3%83%8A%E3%83%BC/id6765519694?uo=4
拉了么-排便记录肠道健康数据统计习惯培养本地隐私热力图打卡,友健 高,Health & Fitness,2026-02-06,0,6758728373,https://apps.apple.com/jp/app/%E6%8B%89%E4%BA%86%E4%B9%88-%E6%8E%92%E4%BE%BF%E8%AE%B0%E5%BD%95%E8%82%A0%E9%81%93%E5%81%A5%E5%BA%B7%E6%95%B0%E6%8D%AE%E7%BB%9F%E8%AE%A1%E4%B9%A0%E6%83%AF%E5%9F%B9%E5%85%BB%E6%9C%AC%E5%9C%B0%E9%9A%90%E7%A7%81%E7%83%AD%E5%8A%9B%E5%9B%BE%E6%89%93%E5%8D%A1/id6758728373?uo=4
腹语BellyLog-便便记录排便日记,"Beijing Xinsheng Yuan Health Technology Co., Ltd.",Health & Fitness,2026-06-09,0,6762614907,https://apps.apple.com/jp/app/%E8%85%B9%E8%AF%ADbellylog-%E4%BE%BF%E4%BE%BF%E8%AE%B0%E5%BD%95%E6%8E%92%E4%BE%BF%E6%97%A5%E8%AE%B0/id6762614907?uo=4
Regularity：排便記録,Creative Stack LLC,Health & Fitness,2026-06-12,0,6759209083,https://apps.apple.com/jp/app/regularity-%E6%8E%92%E4%BE%BF%E8%A8%98%E9%8C%B2/id6759209083?uo=4
便秘記録、日記、トラッカー： プープー,Jisung Hong,Lifestyle,2024-04-11,0,6483686310,https://apps.apple.com/jp/app/%E4%BE%BF%E7%A7%98%E8%A8%98%E9%8C%B2-%E6%97%A5%E8%A8%98-%E3%83%88%E3%83%A9%E3%83%83%E3%82%AB%E3%83%BC-%E3%83%97%E3%83%BC%E3%83%97%E3%83%BC/id6483686310?uo=4
大便记录-肠道健康管理助手,秋平 李,Lifestyle,2026-01-02,0,6757027636,https://apps.apple.com/jp/app/%E5%A4%A7%E4%BE%BF%E8%AE%B0%E5%BD%95-%E8%82%A0%E9%81%93%E5%81%A5%E5%BA%B7%E7%AE%A1%E7%90%86%E5%8A%A9%E6%89%8B/id6757027636?uo=4
Settura: 過敏性腸症候群・腸活記録,Ryosuke Igarashi,Health & Fitness,2026-06-23,0,6781145402,https://apps.apple.com/jp/app/settura-%E9%81%8E%E6%95%8F%E6%80%A7%E8%85%B8%E7%97%87%E5%80%99%E7%BE%A4-%E8%85%B8%E6%B4%BB%E8%A8%98%E9%8C%B2/id6781145402?uo=4
Throne: 腸活＆便記録,Jung Soon Shin,Health & Fitness,2026-06-22,0,6780708757,https://apps.apple.com/jp/app/throne-%E8%85%B8%E6%B4%BB-%E4%BE%BF%E8%A8%98%E9%8C%B2/id6780708757?uo=4
GutNotes,KUO TAI TSENG,Health & Fitness,2026-05-20,0,6770604627,https://apps.apple.com/jp/app/gutnotes/id6770604627?uo=4
poopDaily,lu shuo,Lifestyle,2026-05-12,0,6768027633,https://apps.apple.com/jp/app/poopdaily/id6768027633?uo=4
PoopTap,ZEC Inc.,Lifestyle,2026-04-21,0,6762576578,https://apps.apple.com/jp/app/pooptap/id6762576578?uo=4
Pooply Tracker,Leobardo Mar,Health & Fitness,2025-11-04,0,6754704319,https://apps.apple.com/jp/app/pooply-tracker/id6754704319?uo=4
うんぴー,Rina Ozaki,Health & Fitness,2026-03-30,0,6760401719,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%B4%E3%83%BC/id6760401719?uo=4
拉完了 - PoopTimer,哲帅 夏,Utilities,2026-04-17,0,6762424243,https://apps.apple.com/jp/app/%E6%8B%89%E5%AE%8C%E4%BA%86-pooptimer/id6762424243?uo=4
Flarely: クローン病・大腸炎,Low Latency Labs LLC,Health & Fitness,2026-04-02,0,6760443478,https://apps.apple.com/jp/app/flarely-%E3%82%AF%E3%83%AD%E3%83%BC%E3%83%B3%E7%97%85-%E5%A4%A7%E8%85%B8%E7%82%8E/id6760443478?uo=4
Poop Together,HAO CHANG KUO,Health & Fitness,2026-06-26,0,6778721661,https://apps.apple.com/jp/app/poop-together/id6778721661?uo=4
便便通,顺吉 陆,Lifestyle,2026-02-18,0,6758648082,https://apps.apple.com/jp/app/%E4%BE%BF%E4%BE%BF%E9%80%9A/id6758648082?uo=4
Bowelog: 排便記録・腸活ダイアリー,Stanislav Morozov,Health & Fitness,2026-03-24,0,6760947006,https://apps.apple.com/jp/app/bowelog-%E6%8E%92%E4%BE%BF%E8%A8%98%E9%8C%B2-%E8%85%B8%E6%B4%BB%E3%83%80%E3%82%A4%E3%82%A2%E3%83%AA%E3%83%BC/id6760947006?uo=4
お通じログ,"iDeplo, Inc.",Health & Fitness,2026-08-05,0,6796360728,https://apps.apple.com/jp/app/%E3%81%8A%E9%80%9A%E3%81%98%E3%83%AD%E3%82%B0/id6796360728?uo=4
うんち記録 - 腸活・便秘・お通じ管理の排便カレンダー,"Knecht, Inc.",Medical,2026-05-02,0,6762439939,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%A1%E8%A8%98%E9%8C%B2-%E8%85%B8%E6%B4%BB-%E4%BE%BF%E7%A7%98-%E3%81%8A%E9%80%9A%E3%81%98%E7%AE%A1%E7%90%86%E3%81%AE%E6%8E%92%E4%BE%BF%E3%82%AB%E3%83%AC%E3%83%B3%E3%83%80%E3%83%BC/id6762439939?uo=4
うんち: 腸活 排便記録 便秘日記 Αρρ,Ilia Kukharev,Health & Fitness,2026-05-28,0,6772184356,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%A1-%E8%85%B8%E6%B4%BB-%E6%8E%92%E4%BE%BF%E8%A8%98%E9%8C%B2-%E4%BE%BF%E7%A7%98%E6%97%A5%E8%A8%98-%CE%B1%CF%81%CF%81/id6772184356?uo=4
Plop - 腸活うんち記録＆便秘管理,MINERVA K.K.,Health & Fitness,2026-01-22,0,6757917342,https://apps.apple.com/jp/app/plop-%E8%85%B8%E6%B4%BB%E3%81%86%E3%82%93%E3%81%A1%E8%A8%98%E9%8C%B2-%E4%BE%BF%E7%A7%98%E7%AE%A1%E7%90%86/id6757917342?uo=4
iPoop - 排便記録・腸活・トイレ日記,AppOG Inc.,Entertainment,2014-07-10,0,723140052,https://apps.apple.com/jp/app/ipoop-%E6%8E%92%E4%BE%BF%E8%A8%98%E9%8C%B2-%E8%85%B8%E6%B4%BB-%E3%83%88%E3%82%A4%E3%83%AC%E6%97%A5%E8%A8%98/id723140052?uo=4
GasLog - おなら記録・腸活サポート,kota tada,Health & Fitness,2025-12-08,0,6756221768,https://apps.apple.com/jp/app/gaslog-%E3%81%8A%E3%81%AA%E3%82%89%E8%A8%98%E9%8C%B2-%E8%85%B8%E6%B4%BB%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88/id6756221768?uo=4
うんち記録: 排便・腸活ダイアリー,汇杭 钟,Health & Fitness,2026-05-15,0,6748749792,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%A1%E8%A8%98%E9%8C%B2-%E6%8E%92%E4%BE%BF-%E8%85%B8%E6%B4%BB%E3%83%80%E3%82%A4%E3%82%A2%E3%83%AA%E3%83%BC/id6748749792?uo=4
Lovely Gut: 腸活・便秘・お腹,Doa Atac,Health & Fitness,2025-11-18,0,6753955247,https://apps.apple.com/jp/app/lovely-gut-%E8%85%B8%E6%B4%BB-%E4%BE%BF%E7%A7%98-%E3%81%8A%E8%85%B9/id6753955247?uo=4
うんちーズ,Kae Fujibayashi,Health & Fitness,2026-05-01,0,6762075999,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%A1%E3%83%BC%E3%82%BA/id6762075999?uo=4
Number Two: 排便トラッカー,Aner Sarid,Health & Fitness,2026-03-09,0,6759846071,https://apps.apple.com/jp/app/number-two-%E6%8E%92%E4%BE%BF%E3%83%88%E3%83%A9%E3%83%83%E3%82%AB%E3%83%BC/id6759846071?uo=4
"腸活ケアログアプリ & くろにくる 消化,便秘",Harvey Guggenheim,Health & Fitness,2026-06-03,0,6762596003,https://apps.apple.com/jp/app/%E8%85%B8%E6%B4%BB%E3%82%B1%E3%82%A2%E3%83%AD%E3%82%B0%E3%82%A2%E3%83%97%E3%83%AA-%E3%81%8F%E3%82%8D%E3%81%AB%E3%81%8F%E3%82%8B-%E6%B6%88%E5%8C%96-%E4%BE%BF%E7%A7%98/id6762596003?uo=4
Gutty,takuto obara,Health & Fitness,2026-05-01,0,6761299415,https://apps.apple.com/jp/app/gutty/id6761299415?uo=4
Darmi: 食事・うんち・症状 健康体調腸活管理日記,Xin Zhang,Health & Fitness,2026-03-03,0,6759197247,https://apps.apple.com/jp/app/darmi-%E9%A3%9F%E4%BA%8B-%E3%81%86%E3%82%93%E3%81%A1-%E7%97%87%E7%8A%B6-%E5%81%A5%E5%BA%B7%E4%BD%93%E8%AA%BF%E8%85%B8%E6%B4%BB%E7%AE%A1%E7%90%86%E6%97%A5%E8%A8%98/id6759197247?uo=4
うんこ - うんち 記録 & うんちカレンダー,Andrei Nemtsou,Medical,2023-08-08,0,6449427818,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%93-%E3%81%86%E3%82%93%E3%81%A1-%E8%A8%98%E9%8C%B2-%E3%81%86%E3%82%93%E3%81%A1%E3%82%AB%E3%83%AC%E3%83%B3%E3%83%80%E3%83%BC/id6449427818?uo=4
うんちログ,Kenji Yanase,Lifestyle,2026-03-31,0,6761322028,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%A1%E3%83%AD%E3%82%B0/id6761322028?uo=4
PooDoo: うんち記録・腸活アプリ,Yevhenii Vladymyrov,Health & Fitness,2026-04-16,0,6761279003,https://apps.apple.com/jp/app/poodoo-%E3%81%86%E3%82%93%E3%81%A1%E8%A8%98%E9%8C%B2-%E8%85%B8%E6%B4%BB%E3%82%A2%E3%83%97%E3%83%AA/id6761279003?uo=4
うんち記録: 腸の健康ログ,Burak Guner,Health & Fitness,2026-08-21,0,6798729677,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%A1%E8%A8%98%E9%8C%B2-%E8%85%B8%E3%81%AE%E5%81%A5%E5%BA%B7%E3%83%AD%E3%82%B0/id6798729677?uo=4
うんち色カード - 赤ちゃんのうんちの色を比較・記録,凯云 华,Medical,2026-05-13,0,6768498987,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%A1%E8%89%B2%E3%82%AB%E3%83%BC%E3%83%89-%E8%B5%A4%E3%81%A1%E3%82%83%E3%82%93%E3%81%AE%E3%81%86%E3%82%93%E3%81%A1%E3%81%AE%E8%89%B2%E3%82%92%E6%AF%94%E8%BC%83-%E8%A8%98%E9%8C%B2/id6768498987?uo=4
Poko：腸活＆うんち記録,Ryutaro Nakano,Health & Fitness,2026-06-04,0,6775795630,https://apps.apple.com/jp/app/poko-%E8%85%B8%E6%B4%BB-%E3%81%86%E3%82%93%E3%81%A1%E8%A8%98%E9%8C%B2/id6775795630?uo=4
うんちレコ,RYOTARO NISHIMURA,Lifestyle,2026-07-16,0,6790097538,https://apps.apple.com/jp/app/%E3%81%86%E3%82%93%E3%81%A1%E3%83%AC%E3%82%B3/id6790097538?uo=4
商便通骑手端,"Nanjing Youlin Kesi Technology Co., Ltd.",Utilities,2026-05-11,0,6767869934,https://apps.apple.com/jp/app/%E5%95%86%E4%BE%BF%E9%80%9A%E9%AA%91%E6%89%8B%E7%AB%AF/id6767869934?uo=4
IBS Tracker: 腸活日記,Kristoffer Tollin,Medical,2025-04-22,0,6744578929,https://apps.apple.com/jp/app/ibs-tracker-%E8%85%B8%E6%B4%BB%E6%97%A5%E8%A8%98/id6744578929?uo=4
Guto: 腸活とIBSトラッカー,Hetvikkumar Vikramsinh Asari,Health & Fitness,2026-05-27,0,6762330659,https://apps.apple.com/jp/app/guto-%E8%85%B8%E6%B4%BB%E3%81%A8ibs%E3%83%88%E3%83%A9%E3%83%83%E3%82%AB%E3%83%BC/id6762330659?uo=4
IBS・排便トラッカー - GutLog,Yusuf Baran Dogan,Health & Fitness,2025-09-18,0,6749550927,https://apps.apple.com/jp/app/ibs-%E6%8E%92%E4%BE%BF%E3%83%88%E3%83%A9%E3%83%83%E3%82%AB%E3%83%BC-gutlog/id6749550927?uo=4
IBS・FODMAPトラッカー - Soothe,Karol Jaworski,Health & Fitness,2026-06-12,0,6768031033,https://apps.apple.com/jp/app/ibs-fodmap%E3%83%88%E3%83%A9%E3%83%83%E3%82%AB%E3%83%BC-soothe/id6768031033?uo=4
